nct_id,title,status,phase,study_type,start_date,completion_date,conditions,interventions
NCT06363123,Plasma Metabolic Biomarkers for Multi-Cancer Diagnosis,UNKNOWN,,OBSERVATIONAL,2024-03-29,2025-04,Lung Cancer | Breast Cancer | Colorectal Cancer | Thyroid Cancer | Gastric Cancer | Cervical Cancer | Liver Cancer | Pancreatic Cancer | Cholangiocarcinoma | Prostate Cancer | Esophageal Cancer | Ovarian Cancer | Renal Cell Carcinoma,
NCT03724851,Vactosertib in Combination with Pembrolizumab in Metastatic Colorectal or Gastric Cancer,COMPLETED,PHASE1 / PHASE2,INTERVENTIONAL,2018-12-20,2024-05-07,Metastatic Colorectal Cancer | Gastric Cancer | Gastroesophageal Junction Adenocarcinoma,TEW-7197
NCT03871959,Pembrolizumab In Combination With Debio 1143 In Pancreatic and Colorectal Advanced/Metastatic Adenocarcinoma,COMPLETED,PHASE1,INTERVENTIONAL,2019-09-15,2022-06-08,Adenocarcinoma of the Pancreas | Adenocarcinoma of the Colon | Adenocarcinoma of the Rectum,Pembrolizumab | DEBIO1143
NCT03373188,VX15/2503 and Immunotherapy in Resectable Pancreatic and Colorectal Cancer,COMPLETED,PHASE1,INTERVENTIONAL,2017-12-15,2021-10-28,Colon Carcinoma Metastatic in the Liver | Colorectal Adenocarcinoma | Pancreatic Adenocarcinoma | Resectable Pancreatic Carcinoma | Stage I Pancreatic Cancer | Stage IA Pancreatic Cancer | Stage IB Pancreatic Cancer | Stage II Pancreatic Cancer | Stage IIA Pancreatic Cancer | Stage IIB Pancreatic Cancer | Stage III Pancreatic Cancer | Stage IV Colorectal Cancer | Stage IVA Colorectal Cancer | Stage IVB Colorectal Cancer,Anti-SEMA4D Monoclonal Antibody VX15/2503 | Ipilimumab | Nivolumab | Surgery
NCT04510129,A Multicenter Cancer Biospecimen Collection Study,RECRUITING,,OBSERVATIONAL,2020-02-05,2027-02,"Cancer of Head and Neck | Lung Cancer, Nonsmall Cell | Small-cell Lung Cancer | Urothelial Carcinoma | Gastroesophageal Junction Adenocarcinoma | Cervical Cancer | Esophageal Squamous Cell Carcinoma | Triple Negative Breast Cancer | Hepatocellular Carcinoma | Renal Cell Carcinoma | Colorectal Cancer",OncoPrism™ assay
NCT05462717,Dose Escalation and Dose Expansion Study of RMC-6291 Monotherapy in Subjects With Advanced KRASG12C Mutant Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2022-09-19,2027-09-30,Non-Small Cell Lung Cancer (NSCLC) | Colorectal Cancer (CRC) | Pancreatic Ductal Adenocarcinoma | Advanced Solid Tumor,RMC-6291
NCT03929666,"A Safety and Efficacy Study of ZW25 (Zanidatamab) Plus Combination Chemotherapy in HER2-expressing Gastrointestinal Cancers, Including Gastroesophageal Adenocarcinoma, Biliary Tract Cancer, and Colorectal Cancer",COMPLETED,PHASE2,INTERVENTIONAL,2019-08-29,2025-08-30,"HER2-expressing Gastrointestinal Cancers, Including Gastroesophageal Adenocarcinoma, Biliary Tract Cancer, and Colorectal Cancer",ZW25 (Zanidatamab) | Capecitabine | Cisplatin | Fluorouracil | Leucovorin | Oxaliplatin | Bevacizumab | Gemcitabine
NCT06524362,Effect of Pelvic Rehabilitation After Low Anterior Resection for Cancer Rectum. - A Randomised Controlled Trial,UNKNOWN,NA,INTERVENTIONAL,2024-08,2026-03,Rectal Cancer | Rectum Neoplasm | Rectal Neoplasms | Rectal Adenocarcinoma | Low Anterior Resection Syndrome | Fecal Incontinence | Bowel Dysfunction,Pelvic Floor Physiotherapy (PFR) | Conventional group
NCT01417494,1st Line Chemotherapy Alone or With Bevacizumab in Treating Older Patients With Metastatic Colorectal Cancer,COMPLETED,PHASE2,INTERVENTIONAL,2011-07,2016-04,Colorectal Cancer,"Chemotherapy ( FOLFIRI regimen, FOLFOX regimen or LV5FU2 regimen) | Chemotherapy ( FOLFIRI regimen, FOLFOX regimen or LV5FU2 regimen) + bevacizumab"
NCT00007826,Monoclonal Antibody Therapy and/or Vaccine Therapy in Treating Patients With Locally Advanced or Metastatic Colorectal Cancer,UNKNOWN,PHASE1 / PHASE2,INTERVENTIONAL,2000-04,,Colorectal Cancer,BCG vaccine | monoclonal antibody 105AD7 anti-idiotype vaccine | alum adjuvant
